Sweeping 200 app_screens from dank-fresh-20260427.db (skip_existing=False, port=9225, out=/Users/mattpacione/declarative-build/audit/sprint-2-station-parity-20260427-205500/dank)
[127/200] screen=127 DRIFT   t= 10.6s parity=0.859504132231405 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[128/200] screen=128 DRIFT   t=  3.0s parity=0.8440366972477065 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[129/200] screen=129 DRIFT   t=  2.3s parity=0.8818897637795275 errs=15 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[130/200] screen=130 DRIFT   t=  3.0s parity=0.8818897637795275 errs=15 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[131/200] screen=131 DRIFT   t=  2.7s parity=0.8692307692307693 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[132/200] screen=132 DRIFT   t=  2.8s parity=0.8692307692307693 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[133/200] screen=133 DRIFT   t=  2.8s parity=0.864 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[134/200] screen=134 DRIFT   t=  2.7s parity=0.8454545454545455 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[135/200] screen=135 DRIFT   t=  2.8s parity=0.8629032258064516 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[136/200] screen=136 DRIFT   t=  2.3s parity=0.8440366972477065 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[137/200] screen=137 DRIFT   t=  3.0s parity=0.8515625 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[138/200] screen=138 DRIFT   t=  3.1s parity=0.8560606060606061 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[139/200] screen=139 DRIFT   t=  3.2s parity=0.8613138686131386 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[140/200] screen=140 DRIFT   t=  3.4s parity=0.8823529411764706 errs=20 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[141/200] screen=141 DRIFT   t=  3.5s parity=0.8823529411764706 errs=20 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[142/200] screen=142 DRIFT   t=  3.3s parity=0.8758169934640523 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[143/200] screen=143 DRIFT   t=  3.3s parity=0.8758169934640523 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[144/200] screen=144 DRIFT   t=  3.2s parity=0.8560606060606061 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[145/200] screen=145 DRIFT   t=  3.2s parity=0.8766233766233766 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[146/200] screen=146 DRIFT   t=  3.3s parity=0.8766233766233766 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[147/200] screen=147 DRIFT   t=  3.3s parity=0.8766233766233766 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[148/200] screen=148 DRIFT   t=  3.3s parity=0.8774193548387097 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[149/200] screen=149 DRIFT   t=  3.2s parity=0.8560606060606061 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[150/200] screen=150 DRIFT   t=  2.9s parity=0.831858407079646 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[151/200] screen=151 DRIFT   t=  3.0s parity=0.8429752066115702 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[152/200] screen=152 DRIFT   t=  3.0s parity=0.8492063492063492 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[153/200] screen=153 DRIFT   t=  3.3s parity=0.8742138364779874 errs=20 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[154/200] screen=154 DRIFT   t=  3.3s parity=0.8742138364779874 errs=20 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[155/200] screen=155 DRIFT   t=  3.2s parity=0.8661971830985915 errs=19 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
