scope,rank,anchor_h,offset_h,anchor_v,offset_v,count,pct,cum_pct
LLM_EMITTED,13,center,0,center,0,230,2.72,50.22
LLM_EMITTED,14,stretch,0,bottom,0,209,2.47,52.69
LLM_EMITTED,15,stretch,0,top,0,204,2.41,55.11
LLM_EMITTED,16,center,0,bottom,0,203,2.40,57.51
LLM_EMITTED,17,leading,non-bucket,center,0,201,2.38,59.89
LLM_EMITTED,18,center,0,top,160,198,2.34,62.23
LLM_EMITTED,19,leading,0,stretch,0,198,2.34,64.58
LLM_EMITTED,20,center,negative-non-bucket,bottom,negative-non-bucket,150,1.78,66.35
LLM_EMITTED,21,trailing,non-bucket,center,0,149,1.76,68.11
LLM_EMITTED,22,center,0,top,0,135,1.60,69.71
LLM_EMITTED,23,stretch,non-bucket,stretch,8,133,1.57,71.29
LLM_EMITTED,24,scale,non-bucket,scale,non-bucket,125,1.48,72.77
LLM_EMITTED,25,center,0,bottom,negative-non-bucket,103,1.22,73.99
LLM_EMITTED,26,center,-1,center,-4,96,1.14,75.12
LLM_EMITTED,27,leading,10,stretch,0,96,1.14,76.26
LLM_EMITTED,28,leading,0,top,10,96,1.14,77.39
LLM_EMITTED,29,leading,20,stretch,0,96,1.14,78.53
LLM_EMITTED,30,leading,0,top,20,96,1.14,79.67
LLM_EMITTED,31,leading,40,stretch,0,96,1.14,80.80
LLM_EMITTED,32,leading,0,top,40,96,1.14,81.94
LLM_EMITTED,33,leading,80,stretch,0,96,1.14,83.07
LLM_EMITTED,34,leading,0,top,80,96,1.14,84.21
LLM_EMITTED,35,trailing,0,stretch,0,96,1.14,85.35
LLM_EMITTED,36,center,non-bucket,top,non-bucket,93,1.10,86.45
LLM_EMITTED,37,leading,80,top,negative-non-bucket,93,1.10,87.55
LLM_EMITTED,38,leading,non-bucket,top,negative-non-bucket,91,1.08,88.63
LLM_EMITTED,39,center,0,top,negative-non-bucket,90,1.07,89.69
LLM_EMITTED,40,stretch,0,center,0,74,0.88,90.57
LLM_EMITTED,41,leading,non-bucket,bottom,non-bucket,70,0.83,91.40
LLM_EMITTED,42,center,0,center,non-bucket,65,0.77,92.16
LLM_EMITTED,43,center,2,bottom,non-bucket,58,0.69,92.85
LLM_EMITTED,44,center,non-bucket,center,non-bucket,53,0.63,93.48
LLM_EMITTED,45,leading,0,center,0,51,0.60,94.08
LLM_EMITTED,46,center,-24,top,non-bucket,51,0.60,94.69
LLM_EMITTED,47,leading,negative-non-bucket,top,negative-non-bucket,29,0.34,95.03
LLM_EMITTED,48,stretch,negative-non-bucket,center,0,28,0.33,95.36
LLM_EMITTED,49,stretch,10,stretch,10,28,0.33,95.69
LLM_EMITTED,50,center,0,stretch,non-bucket,26,0.31,96.00
LLM_EMITTED,51,center,-1,stretch,non-bucket,26,0.31,96.31
LLM_EMITTED,52,leading,16,stretch,non-bucket,20,0.24,96.54
LLM_EMITTED,53,center,0,center,1,17,0.20,96.75
LLM_EMITTED,54,center,-72,top,non-bucket,16,0.19,96.93
LLM_EMITTED,55,leading,-1,top,2,14,0.17,97.10
LLM_EMITTED,56,center,non-bucket,center,negative-non-bucket,13,0.15,97.25
LLM_EMITTED,57,center,-1,top,non-bucket,12,0.14,97.40
LLM_EMITTED,58,leading,8,top,non-bucket,11,0.13,97.53
LLM_EMITTED,59,leading,28,top,non-bucket,10,0.12,97.64
LLM_EMITTED,60,center,1,top,non-bucket,10,0.12,97.76
LLM_EMITTED,61,leading,16,center,0,10,0.12,97.88
LLM_EMITTED,62,center,-40,top,non-bucket,8,0.09,97.98
LLM_EMITTED,63,scale,non-bucket,scale,0,7,0.08,98.06
LLM_EMITTED,64,leading,8,bottom,0,7,0.08,98.14
LLM_EMITTED,65,leading,non-bucket,top,0,6,0.07,98.21
LLM_EMITTED,66,scale,32,scale,non-bucket,6,0.07,98.28
LLM_EMITTED,67,scale,non-bucket,scale,72,5,0.06,98.34
LLM_EMITTED,68,stretch,0,scale,non-bucket,5,0.06,98.40
LLM_EMITTED,69,stretch,non-bucket,stretch,non-bucket,5,0.06,98.46
LLM_EMITTED,70,trailing,non-bucket,bottom,negative-non-bucket,5,0.06,98.52
LLM_EMITTED,71,scale,28,scale,non-bucket,4,0.05,98.57
LLM_EMITTED,72,trailing,0,center,0,4,0.05,98.62
LLM_EMITTED,73,center,negative-non-bucket,center,4,3,0.04,98.65
LLM_EMITTED,74,center,2,center,0,3,0.04,98.69
LLM_EMITTED,75,trailing,negative-non-bucket,top,non-bucket,3,0.04,98.72
LLM_EMITTED,76,trailing,negative-non-bucket,center,non-bucket,3,0.04,98.76
LLM_EMITTED,77,trailing,non-bucket,top,non-bucket,3,0.04,98.79
LLM_EMITTED,78,trailing,non-bucket,bottom,non-bucket,3,0.04,98.83
LLM_EMITTED,79,center,1,bottom,non-bucket,3,0.04,98.86
LLM_EMITTED,80,scale,10,scale,non-bucket,3,0.04,98.90
LLM_EMITTED,81,scale,16,scale,non-bucket,3,0.04,98.93
LLM_EMITTED,82,scale,non-bucket,scale,112,3,0.04,98.97
LLM_EMITTED,83,scale,48,scale,non-bucket,3,0.04,99.01
LLM_EMITTED,84,scale,non-bucket,scale,48,3,0.04,99.04
LLM_EMITTED,85,center,0,center,negative-non-bucket,3,0.04,99.08
LLM_EMITTED,86,stretch,0,scale,20,2,0.02,99.10
LLM_EMITTED,87,scale,14,scale,non-bucket,2,0.02,99.12
LLM_EMITTED,88,scale,non-bucket,scale,64,2,0.02,99.15
LLM_EMITTED,89,scale,non-bucket,scale,8,2,0.02,99.17
LLM_EMITTED,90,scale,non-bucket,scale,96,2,0.02,99.20
LLM_EMITTED,91,stretch,0,top,non-bucket,2,0.02,99.22
LLM_EMITTED,92,stretch,12,stretch,non-bucket,2,0.02,99.24
LLM_EMITTED,93,center,-2,bottom,0,2,0.02,99.27
LLM_EMITTED,94,leading,non-bucket,top,-2,2,0.02,99.29
LLM_EMITTED,95,trailing,0,top,non-bucket,2,0.02,99.31
LLM_EMITTED,96,leading,non-bucket,top,4,2,0.02,99.34
LLM_EMITTED,97,leading,non-bucket,top,8,2,0.02,99.36
LLM_EMITTED,98,leading,4,top,non-bucket,2,0.02,99.38
LLM_EMITTED,99,center,non-bucket,bottom,non-bucket,2,0.02,99.41
LLM_EMITTED,100,stretch,6,stretch,6,2,0.02,99.43
LLM_EMITTED,101,center,-12,bottom,negative-non-bucket,2,0.02,99.46
LLM_EMITTED,102,center,-12,top,non-bucket,2,0.02,99.48
LLM_EMITTED,103,leading,0,bottom,2,2,0.02,99.50
LLM_EMITTED,104,trailing,-1,top,non-bucket,2,0.02,99.53
LLM_EMITTED,105,stretch,12,stretch,12,2,0.02,99.55
LLM_EMITTED,106,center,negative-non-bucket,center,non-bucket,1,0.01,99.56
LLM_EMITTED,107,center,2,bottom,negative-non-bucket,1,0.01,99.57
LLM_EMITTED,108,center,1,center,0,1,0.01,99.59
LLM_EMITTED,109,leading,non-bucket,top,192,1,0.01,99.60
LLM_EMITTED,110,leading,0,bottom,40,1,0.01,99.61
LLM_EMITTED,111,leading,non-bucket,center,negative-non-bucket,1,0.01,99.62
LLM_EMITTED,112,leading,0,bottom,32,1,0.01,99.63
LLM_EMITTED,113,leading,72,center,-14,1,0.01,99.64
LLM_EMITTED,114,center,144,top,non-bucket,1,0.01,99.66
LLM_EMITTED,115,leading,negative-non-bucket,top,-6,1,0.01,99.67
LLM_EMITTED,116,leading,0,bottom,16,1,0.01,99.68
LLM_EMITTED,117,leading,non-bucket,center,-6,1,0.01,99.69
LLM_EMITTED,118,center,56,top,non-bucket,1,0.01,99.70
LLM_EMITTED,119,leading,12,top,non-bucket,1,0.01,99.72
LLM_EMITTED,120,center,2,center,2,1,0.01,99.73
LLM_EMITTED,121,leading,28,top,0,1,0.01,99.74
LLM_EMITTED,122,leading,0,bottom,4,1,0.01,99.75
LLM_EMITTED,123,trailing,negative-non-bucket,top,28,1,0.01,99.76
LLM_EMITTED,124,trailing,4,bottom,negative-non-bucket,1,0.01,99.78
LLM_EMITTED,125,center,-1,top,0,1,0.01,99.79
LLM_EMITTED,126,trailing,-2,top,96,1,0.01,99.80
LLM_EMITTED,127,leading,20,center,4,1,0.01,99.81
LLM_EMITTED,128,leading,192,top,non-bucket,1,0.01,99.82
LLM_EMITTED,129,leading,non-bucket,top,56,1,0.01,99.83
LLM_EMITTED,130,leading,128,top,12,1,0.01,99.85
LLM_EMITTED,131,leading,0,bottom,non-bucket,1,0.01,99.86
LLM_EMITTED,132,center,4,stretch,non-bucket,1,0.01,99.87
LLM_EMITTED,133,trailing,non-bucket,bottom,-128,1,0.01,99.88
LLM_EMITTED,134,center,2,stretch,non-bucket,1,0.01,99.89
LLM_EMITTED,135,leading,non-bucket,bottom,384,1,0.01,99.91
LLM_EMITTED,136,leading,64,top,0,1,0.01,99.92
LLM_EMITTED,137,leading,0,bottom,8,1,0.01,99.93
LLM_EMITTED,138,trailing,-56,top,64,1,0.01,99.94
LLM_EMITTED,139,trailing,8,bottom,-56,1,0.01,99.95
LLM_EMITTED,140,leading,48,top,0,1,0.01,99.96
LLM_EMITTED,141,leading,0,bottom,6,1,0.01,99.98
LLM_EMITTED,142,trailing,negative-non-bucket,top,48,1,0.01,99.99
LLM_EMITTED,143,trailing,6,bottom,negative-non-bucket,1,0.01,100.00
