screen_id,node_id,figma_node_id,node_type,gt_x,gt_y,gt_w,gt_h,rec_x,rec_y,rec_w,rec_h,iou,al_reachable,local_iou,visible
309,72220,I5749:99528;1313:136259,RECTANGLE,23271.0,12718.0,316.0,5.0,23271.0,11566.0,316.0,5.0,0.000000,0,0.000000,1
309,72222,I5749:99529;5749:93085,FRAME,23409.0,11537.0,40.0,24.0,23409.0,11537.0,40.0,24.0,1.000000,1,1.000000,1
309,72248,I5749:99530;5749:93105,FRAME,23027.0,11540.0,95.0,18.0,23027.0,11540.0,95.0,18.0,1.000000,1,1.000000,1
309,71722,5749:99355,FRAME,23069.0,11837.0,720.0,720.0,23069.0,11784.0,720.0,720.0,0.862872,1,1.000000,1
309,71783,5749:99409,INSTANCE,23333.0,12618.0,48.0,52.0,23333.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,71839,5749:99421,FRAME,23241.0,12016.0,379.0,560.0,23036.0,12073.0,379.0,560.0,0.259742,1,1.000000,1
309,71984,5749:99507,INSTANCE,23342.0,11701.0,48.0,52.0,23342.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,72033,5749:99515,INSTANCE,23405.0,12618.0,48.0,52.0,23405.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,72052,5749:99519,INSTANCE,23462.0,11701.0,116.0,52.0,23462.5,11541.0,116.0,52.0,0.000000,1,1.000000,1
309,72065,5749:99522,INSTANCE,23507.0,12618.0,52.0,52.0,23507.5,11541.0,52.0,52.0,0.000000,1,1.000000,1
309,72086,5749:99526,INSTANCE,23423.0,11772.0,110.0,52.0,23447.0,11541.0,110.0,52.0,0.000000,1,1.000000,1
309,72129,I5749:99527;5749:84284,FRAME,23338.5,11612.0,182.0,64.0,23338.0,12667.0,182.0,64.0,0.000000,0,0.994521,1
309,72226,I5749:99529;5749:93089,FRAME,23016.0,11564.0,826.0,36.0,23016.0,11564.0,826.0,36.0,1.000000,1,1.000000,1
309,72251,I5749:99530;5749:93108,FRAME,23728.947265625,11537.0,102.05338287353516,24.0,23728.946617126465,11537.0,102.05338287353516,24.0,0.999987,1,0.999987,1
309,71790,5749:99410,INSTANCE,23381.0,12618.0,48.0,52.0,23381.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,71960,5749:99502,FRAME,23241.0,12598.0,379.0,52.0,23036.0,12655.0,379.0,52.0,0.000000,1,1.000000,1
309,71990,5749:99508,INSTANCE,23390.0,11701.0,48.0,52.0,23390.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,72039,5749:99516,INSTANCE,23465.0,12618.0,48.0,52.0,23465.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,72071,5749:99523,INSTANCE,23563.0,12618.0,52.0,52.0,23563.5,11541.0,52.0,52.0,0.000000,1,1.000000,1
309,72173,I5749:99527;5749:84291,FRAME,23716.0,11612.0,130.0,64.0,23716.0,12643.5,130.0,64.0,0.000000,0,0.462857,1
309,71797,5749:99411,INSTANCE,23429.0,12618.0,48.0,52.0,23429.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,71996,5749:99509,INSTANCE,23438.0,11701.0,48.0,52.0,23438.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,71803,5749:99412,INSTANCE,23477.0,12618.0,48.0,52.0,23477.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,72005,5749:99510,INSTANCE,23486.0,11701.0,48.0,52.0,23486.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,71809,5749:99413,INSTANCE,23525.0,12618.0,48.0,52.0,23525.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,72011,5749:99511,INSTANCE,23534.0,11701.0,48.0,52.0,23534.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,72018,5749:99512,INSTANCE,23582.0,11701.0,48.0,52.0,23582.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
